"Nombre De La Escuela",Turno,Delegación,Colonia,Sostenimiento,Modalidad,"Total De Alumnos","Alumnos Evaluados","Comunicación: Insuficiente","Comunicación: Elemental","Comunicación: Bueno","Comunicación: Excelente","Matemáticas: Insuficiente","Matemáticas: Elemental","Matemáticas: Bueno","Matemáticas: Excelente"
"INSTITUTO DE LAS NACIONES UNIDAS",MATUTINO,TLALPAN,"TORIELLO GUERRA",PRIVADO,"BACHILLERATO TECNOLOGICO",14,14," 30.8"," 30.8"," 38.5","  0.0"," 61.5"," 38.5","  0.0","  0.0"
"UNIVERSIDAD INSURGENTES PLANTEL XOLA",MATUTINO,"BENITO JUAREZ","BENITO JUAREZ",PRIVADO,"BACHILLERATO TECNOLOGICO",54,47," 22.0"," 48.8"," 24.4","  4.9"," 59.5"," 26.2"," 11.9","  2.4"
"ESCUELA MEXICANA DE TURISMO",MATUTINO,CUAUHTEMOC,JUAREZ,PRIVADO,"BACHILLERATO TECNOLOGICO",33,32," 43.3"," 50.0","  6.7","  0.0"," 53.1"," 40.6","  6.3","  0.0"
"INSTITUTO DE ESTUDIOS DE TURISMO",MATUTINO,"BENITO JUAREZ","BENITO JUAREZ",PRIVADO,"BACHILLERATO TECNOLOGICO",52,43," 10.5"," 36.8"," 50.0","  2.6"," 39.0"," 48.8","  4.9","  7.3"
"INSTITUTO AMADO NERVO",MATUTINO,"GUSTAVO A. MADERO",ARAGON,PRIVADO,"BACHILLERATO TECNOLOGICO",8,8," 12.5"," 62.5"," 25.0","  0.0"," 71.4"," 14.3"," 14.3","  0.0"
"ESCUELA INTERNACIONAL DE NUEVAS PROFESIONES SENDA 2000 COZUMEL",MATUTINO,CUAUHTEMOC,"ROMA NORTE",PRIVADO,"BACHILLERATO TECNOLOGICO",4,3,"  0.0"," 66.7"," 33.3","  0.0","  0.0"," 66.7"," 33.3","  0.0"
"LICEO EUROPEO PLANTEL IZTAPALAPA",MATUTINO,IZTAPALAPA,"SAN JUAN XALPA",PRIVADO,"BACHILLERATO TECNOLOGICO",31,25," 54.2"," 29.2"," 16.7","  0.0"," 44.0"," 44.0","  8.0","  4.0"
"LICEO EUROPEO CAMPUS AEROPUERTO",MATUTINO,"VENUSTIANO CARRANZA",ZARAGOZA,PRIVADO,"BACHILLERATO TECNOLOGICO",35,34," 39.4"," 27.3"," 33.3","  0.0"," 54.5"," 30.3"," 12.1","  3.0"
"UNIVERSIDAD LATINA, CAMPUS SUR",MATUTINO,COYOACAN,"LOS REYES",PRIVADO,"BACHILLERATO TECNOLOGICO",72,62," 16.9"," 45.8"," 33.9","  3.4"," 41.7"," 38.3"," 20.0","  0.0"
"COLEGIO VALLE DEL TEPEYAC",MATUTINO,"GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN",PRIVADO,"BACHILLERATO TECNOLOGICO",6,6," 16.7"," 16.7"," 50.0"," 16.7"," 50.0"," 16.7"," 33.3","  0.0"
"INSTITUTO EDUCATIVO MIXCOAC",MATUTINO,"BENITO JUAREZ","CIUDAD DE LOS DEPORTES",PRIVADO,"BACHILLERATO TECNOLOGICO",25,20," 30.0"," 55.0"," 15.0","  0.0"," 35.0"," 45.0"," 15.0","  5.0"
"COLEGIO DE MATEMATICAS AZCAPOTZALCO",MATUTINO,AZCAPOTZALCO,AZCAPOTZALCO,PRIVADO,"BACHILLERATO TECNOLOGICO",15,15," 40.0"," 13.3"," 40.0","  6.7"," 40.0"," 26.7"," 26.7","  6.7"
"COLEGIO OLIVERIO CROMWELL",MATUTINO,COYOACAN,AJUSCO,PRIVADO,"BACHILLERATO TECNOLOGICO",19,17," 29.4"," 41.2"," 29.4","  0.0"," 70.6"," 29.4","  0.0","  0.0"
"INSTITUTO INTERNACIONAL DE IDIOMAS Y TURISMO",MATUTINO,"MIGUEL HIDALGO",ESCANDON,PRIVADO,"BACHILLERATO TECNOLOGICO",19,12,"  9.1"," 63.6"," 27.3","  0.0"," 58.3"," 41.7","  0.0","  0.0"
"INSTITUTO MARIA GORETTI",MATUTINO,"MIGUEL HIDALGO","ARGENTINA ANTIGUA",PRIVADO,"BACHILLERATO TECNOLOGICO",22,8," 37.5"," 37.5"," 25.0","  0.0",100.0,"  0.0","  0.0","  0.0"
"INSTITUTO PAKAL",MATUTINO,TLALPAN,"FLORESTA COYOACAN",PRIVADO,"BACHILLERATO TECNOLOGICO",33,26," 37.5"," 20.8"," 41.7","  0.0"," 37.5"," 50.0"," 12.5","  0.0"
"INSTITUTO FRANCISCO POSSENTI",MATUTINO,"ALVARO OBREGON","OLIVAR DE LOS PADRES",PRIVADO,"BACHILLERATO TECNOLOGICO",18,18," 44.4"," 44.4"," 11.1","  0.0"," 61.1"," 38.9","  0.0","  0.0"
"BACHILLERATO TECNOLOGICO HELEN`S SCHOOL",MATUTINO,COYOACAN,"CAMPESTRE CHURUBUSCO",PRIVADO,"BACHILLERATO TECNOLOGICO",9,9,"  0.0"," 44.4"," 55.6","  0.0"," 33.3"," 44.4"," 11.1"," 11.1"
"INSTITUTOT TECNOLOGICO ROOSEVELT",MATUTINO,CUAUHTEMOC,CENTRO,PRIVADO,"BACHILLERATO TECNOLOGICO",29,20," 33.3"," 44.4"," 22.2","  0.0"," 84.2"," 10.5","  5.3","  0.0"
"COLEGIO PARTENON",MATUTINO,IZTACALCO,"REFORMA IZTACCIHUATL",PRIVADO,"BACHILLERATO TECNOLOGICO",13,10," 70.0"," 30.0","  0.0","  0.0"," 30.0"," 70.0","  0.0","  0.0"
"INSTITUTO DE CAPACITACION AZTECA",MATUTINO,IZTAPALAPA,"ESCUADRON 201",PRIVADO,"BACHILLERATO TECNOLOGICO",3,3,"  0.0"," 33.3"," 66.7","  0.0"," 66.7"," 33.3","  0.0","  0.0"
"UNIVERSIDAD DEL DESARROLLO EMPRESARIAL Y PEDAGOGICO",MATUTINO,"BENITO JUAREZ","DEL VALLE",PRIVADO,"BACHILLERATO TECNOLOGICO",47,44," 37.8"," 27.0"," 35.1","  0.0"," 47.6"," 42.9","  9.5","  0.0"
"MATEMATICAS SAN COSME",MATUTINO,CUAUHTEMOC,"SAN RAFAEL",PRIVADO,"BACHILLERATO TECNOLOGICO",8,8,"  0.0","  0.0",100.0,"  0.0","  0.0"," 37.5"," 37.5"," 25.0"
"COLEGIO TECNOLOGICO DEL SUR",MATUTINO,TLALPAN,"PARAJE 38",PRIVADO,"BACHILLERATO TECNOLOGICO",35,28," 56.5"," 17.4"," 26.1","  0.0"," 53.6"," 42.9","  3.6","  0.0"
"UNIVERSIDAD INSURGENTES PLANTEL TLAHUAC",MATUTINO,IZTAPALAPA,"SAN LORENZO TEZONCO",PRIVADO,"BACHILLERATO TECNOLOGICO",28,26," 31.8"," 36.4"," 31.8","  0.0"," 23.1"," 61.5"," 15.4","  0.0"
"BACHILLERATO TECNOLOGICO GUADALUPE TEPEYAC",MATUTINO,"GUSTAVO A. MADERO",ARAGON,PRIVADO,"BACHILLERATO TECNOLOGICO",12,11,"  0.0"," 45.5"," 54.5","  0.0"," 36.4"," 54.5","  9.1","  0.0"
"INSTITUTO LAZARO CARDENAS",MATUTINO,TLAHUAC,TLAHUAC,PRIVADO,"BACHILLERATO TECNOLOGICO",10,2,"  0.0"," 50.0"," 50.0","  0.0","  0.0"," 50.0","  0.0"," 50.0"
"UNIVERSIDAD TRES CULTURAS PLANTEL HAVRE",MATUTINO,CUAUHTEMOC,JUAREZ,PRIVADO,"BACHILLERATO TECNOLOGICO",173,139," 29.2"," 40.8"," 30.0","  0.0"," 49.6"," 43.8","  5.8","  0.7"
"INSTITUTO PROFESIONAL EN SERVICIOS DE HOSPITALIDAD YAXKIN",VESPERTINO,"ALVARO OBREGON",FLORIDA,PRIVADO,"TECNICO PROFESIONAL",2,2,"  0.0","  0.0",100.0,"  0.0","  0.0"," 50.0","  0.0"," 50.0"
"CENTRO DE CAPACITACION TECNOLOGICA PROFESIONAL LIBERTADORES DE AMERICA",MATUTINO,TLALPAN,TLALPAN,PRIVADO,"TECNICO PROFESIONAL",10,10," 30.0"," 40.0"," 10.0"," 20.0"," 20.0"," 50.0"," 20.0"," 10.0"
"SISTEMA HARVARD EDUCACIONAL",MATUTINO,"BENITO JUAREZ",NAPOLES,PRIVADO,"TECNICO PROFESIONAL",3,3,"  0.0","  0.0"," 33.3"," 66.7","  0.0","  0.0"," 66.7"," 33.3"
